"clade","gene_tree","num_clade_tips","clade_relationship","clade_length","branch_length_to_clade","max_branching_time_for_ultrametric_clade","outgroup"
"Porifera",45,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",46,"19","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",47,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",48,"17","monophyletic","1.628025594","0.0165436786","0.3503515477","Drosophila_melanogaster"
"Porifera",49,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",50,"19","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",51,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",52,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",53,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",54,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",55,"11","monophyletic","3.8228261753","0.0292237118","0.880488505","Drosophila_melanogaster"
"Porifera",56,"9","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",57,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",58,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",59,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",60,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",61,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",62,"15","monophyletic","3.1341069032","0.0437278377","0.5712939306","Drosophila_melanogaster"
"Porifera",63,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",64,"16","monophyletic","3.0577802941","0.02917551","0.7694106639","Drosophila_melanogaster"
"Porifera",65,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",66,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",67,"19","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",68,"8","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",69,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",70,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",71,"11","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",72,"9","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",73,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",74,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",75,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",76,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",77,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",78,"11","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",79,"13","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",80,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",81,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",82,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",83,"14","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",84,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",85,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",86,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",87,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",88,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",89,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",90,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",91,"12","monophyletic","4.7614668365","0.0665009044","0.9326004258","Drosophila_melanogaster"
"Porifera",92,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",93,"17","monophyletic","6.512182641","0.0662160285","1.0476131929","Drosophila_melanogaster"
"Porifera",94,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",95,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",96,"19","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",97,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",98,"15","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",99,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",100,"13","monophyletic","6.7322176008","0.0634675297","1.5754377157","Drosophila_melanogaster"
"Porifera",101,"12","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",102,"14","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",103,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",104,"13","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",105,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",106,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",107,"16","monophyletic","8.7367669257","0.0592645015","1.6777454806","Drosophila_melanogaster"
"Porifera",108,"18","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",109,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",110,"19","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",111,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",112,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",113,"14","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",114,"16","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
"Porifera",115,"17","paraphyletic",NA,NA,NA,"Drosophila_melanogaster"
