"id","dataset","matrix_name","dataset_id","model","Plac_present","CTEN.KEY_q1","PORI.KEY_q1","CTENPORI.KEY_q1","CTEN.KEY_f1","PORI.KEY_f1","CTENPORI.KEY_f1","CTEN.KEY_pp1","PORI.KEY_pp1","CTENPORI.KEY_pp1","CTEN.KEY_QC","PORI.KEY_QC","CTENPORI.KEY_QC","CTEN.KEY_EN","PORI.KEY_EN","CTENPORI.KEY_EN","CTEN.KEY_branch_length","PORI.KEY_branch_length","CTENPORI.KEY_branch_length","CTEN.CTEN_q1","PORI.CTEN_q1","CTENPORI.CTEN_q1","CTEN.CTEN_f1","PORI.CTEN_f1","CTENPORI.CTEN_f1","CTEN.CTEN_pp1","PORI.CTEN_pp1","CTENPORI.CTEN_pp1","CTEN.CTEN_QC","PORI.CTEN_QC","CTENPORI.CTEN_QC","CTEN.CTEN_EN","PORI.CTEN_EN","CTENPORI.CTEN_EN","CTEN.CTEN_branch_length","PORI.CTEN_branch_length","CTENPORI.CTEN_branch_length","CTEN.CTEN_monophyly","PORI.CTEN_monophyly","CTENPORI.CTEN_monophyly","CTEN.PORI_q1","PORI.PORI_q1","CTENPORI.PORI_q1","CTEN.PORI_f1","PORI.PORI_f1","CTENPORI.PORI_f1","CTEN.PORI_pp1","PORI.PORI_pp1","CTENPORI.PORI_pp1","CTEN.PORI_QC","PORI.PORI_QC","CTENPORI.PORI_QC","CTEN.PORI_EN","PORI.PORI_EN","CTENPORI.PORI_EN","CTEN.PORI_branch_length","PORI.PORI_branch_length","CTENPORI.PORI_branch_length","CTEN.PORI_monophyly","PORI.PORI_monophyly","CTENPORI.PORI_monophyly"
"Whelan2015.Dataset10.C60","Whelan2015","Dataset10","Whelan2015.Dataset10","C60","Plac",0.326072634430257,0.343637004716407,0.330290360853336,29.0204644642929,30.5836934197602,29.3958421159469,0.29448650370618,0.391444401195522,0.314069095098285,58900,58900,58900,89,89,89,0,0.00977585197478949,0,0.631691621853609,0.809727000600264,0.38433213929806,29.057814605266,63.9684330474209,25.75025333297,0.999934880059397,1,0.522467710544793,67,67,195,46,79,67,2.2520317288596,2.2018105018598,2.20359534996009,"Monophyletic","Monophyletic","Monophyletic",0.38433213929806,0.631691621853609,0.809727000600264,25.75025333297,29.057814605266,63.9684330474209,0.522467710544793,0.999934880059397,1,195,67,67,67,46,79,0.103917405738529,0.0998226548510463,0.106997649937844,"Monophyletic","Monophyletic","Monophyletic"
"Whelan2017.Metazoa_Choano_RCFV_strict.C60","Whelan2017","Metazoa_Choano_RCFV_strict","Whelan2017.Metazoa_Choano_RCFV_strict","C60","Plac",0.366005680678683,0.367432145048316,0.266562174273,28.914448773616,29.027139458817,21.058411767567,0.436942783056352,0.449583887119718,0.113473329823923,62700,62700,62700,79,79,79,0.0430598242040358,0.0452681817327724,0,0.668766634254123,0.739832304338081,0.739832304338081,6.01889970828711,5.17882613036657,5.17882613036657,0.931818656696096,0.947159619657677,0.947159619657677,213,420,420,9,7,7,1.61054133789272,1.70532536006177,1.70779648813678,"Monophyletic","Monophyletic","Monophyletic",0.412221952312133,0.412221952312133,0.77472344526295,47.4055245158953,47.4055245158953,90.6426430957651,0.884623971662024,0.884623971662024,1,3420,3420,6600,115,115,117,0.217266958733309,0.171184382181099,0.305016747208645,"Monophyletic","Monophyletic","Monophyletic"
"Borowiec2015.Best108.Partition","Borowiec2015","Best108","Borowiec2015.Best108","Partition","Plac",0.444653299205837,0.237995673409947,0.317351027384216,40.908103526937,21.8956019537151,29.1962945193479,0.953886962046094,0.013966680837278,0.0321463571166291,64,64,64,92,92,92,0.174124986328098,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single_tip","Single_tip","Single_tip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single_tip","Single_tip","Single_tip"
"Chang2015.Chang_AA.Partition","Chang2015","Chang_AA","Chang2015.Chang_AA","Partition","noPlac",0.391619580202453,0.321374056776022,0.287006363021524,78.3239160404906,64.2748113552045,57.4012726043049,0.877687376988823,0.0783561122999687,0.0439565107112025,28665,28665,28665,200,200,200,0.0882923819878203,0,0,0.991002859908053,0.991195110793091,0.991622861445179,186.308537662714,186.344680829101,186.425097951694,1,1,1,2232,4312,3016,188,188,188,3.84619724123653,3.859717044455,3.89047041305199,"Monophyletic","Monophyletic","Monophyletic",0.410455290832739,0.407273273453905,0.435492033244474,82.0910581665477,81.4546546907809,87.0984066488948,0.964747672551711,0.956425494238786,0.995467173719292,28812,20412,12180,200,200,200,0.119481794427133,0.114144041901021,0.162504940560456,"Monophyletic","Monophyletic","Monophyletic"
"Dunn2008.Dunn2008_FixedNames.Partition","Dunn2008","Dunn2008_FixedNames","Dunn2008.Dunn2008_FixedNames","Partition","Plac",0.390272331137658,0.235225352136955,0.374502316725387,10.5373529407168,6.3510845076978,10.1115625515854,0.470914136598936,0.13343275964705,0.395653103754013,660,660,660,27,27,27,0.0666752560858765,0,0.042584850540137,1,1,1,53,53,15,1,1,0.999999907077714,336,385,61,53,53,15,3.58351893845611,3.58351893845611,2.36712361413162,"Monophyletic","Monophyletic","Monophyletic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Single_tip","Single_tip","Single_tip"
"Laumer2018.Tplx_BUSCOeuk.Partition","Laumer2018","Tplx_BUSCOeuk","Laumer2018.Tplx_BUSCOeuk","Partition","noPlac",0.430397010444647,0.300453768590099,0.269149220965255,129.549500143839,90.4365843456197,81.0139155105417,0.999193722565277,0.000495740771451493,0.000310536663271613,17010,17010,17010,301,301,301,0.154851671331018,0,0,0.910646747911441,0.910237756706129,0.909328996576985,145.703479665831,146.548278829687,146.401968448895,1,1,1,1470,2970,2550,160,161,161,1.94831388348309,1.94441082737601,1.93498650345187,"Monophyletic","Monophyletic","Monophyletic",0.371309857099675,0.374866659764203,0.396439950953872,111.021647272803,111.710264609733,118.535545335208,0.788478044633955,0.828986360686551,0.965257286483915,18954,12474,11016,299,298,299,0.0566848938830597,0.0623216603760388,0.0972575740899536,"Monophyletic","Monophyletic","Monophyletic"
"Moroz2014.ED3d.Partition","Moroz2014","ED3d","Moroz2014.ED3d","Partition","Plac",0.468048916650064,0.329627492306832,0.202323591043103,19.1900055826526,13.5147271845801,8.29526723276723,0.877332068440708,0.0890038074020313,0.0336641241572612,6831,6831,6831,41,41,41,0.205005718624779,0,0,0.500330743983522,0.495099973854685,1,32.521498358929,25.7451986404436,1,0.988254067142257,0.97459745060102,0.666666666666667,648,164,888,65,52,1,2.99598559844451,3.01703900764235,2.85263142991332,"Monophyletic","Monophyletic","Monophyletic",NA,0.666666666666667,0.666666666666667,0,2,2,0.333333333333333,0.666666666666667,0.666666666666667,555,160,160,0,3,3,0.183110491062334,0.222249707344789,0.205628437119898,"Monophyletic","Monophyletic","Monophyletic"
"Nosenko2013.nonribosomal_9187_smatrix.Partition","Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","Partition","Plac",0.487076813944464,0.26397304961518,0.248950136440356,17.0476884880562,9.23905673653132,8.71325477541245,0.91347118752083,0.0454554442655767,0.0410733682135945,30240,30240,30240,35,35,35,0.236127926736309,0,0,0.311722046314088,0.03,0.311722046314088,3.74066455576905,0.06,3.74066455576905,0.293755762608675,0.165788809738078,0.293755762608675,134,68,134,12,2,12,1.0697207443712,1.11198603414596,1.15532603970858,"Monophyletic","Monophyletic","Monophyletic",0.997916666666667,0.25390625,0.03,14.96875,2.03125,0.06,0.999999894474803,0.229043930183995,0.165788809738078,68,68,68,15,8,2,0.0543351018146798,0.0409573677196788,0.118946337917754,"Monophyletic","Monophyletic","Monophyletic"
"Nosenko2013.ribosomal_14615_smatrix.Partition","Nosenko2013","ribosomal_14615_smatrix","Nosenko2013.ribosomal_14615_smatrix","Partition","noPlac",0.375027506442686,0.315971005409752,0.309001488147562,32.252365554071,27.1735064652387,26.5741279806903,0.59798631064992,0.210225078205057,0.191788611145028,28560,28560,28560,86,86,86,0.0577088492502855,0,0,0.988384507856936,0.986891447368421,0.986228659471127,67.2101465342717,67.1086184210526,67.0635488440367,1,1,1,1650,3162,2772,68,68,68,3.24650764270897,3.19133384031159,3.16778439967814,"Monophyletic","Monophyletic","Monophyletic",0.363664052528032,0.369216925386771,0.36594025411462,30.9114444648827,31.3834386578755,30.7389813456281,0.494886437973346,0.539909749864211,0.501951948470891,25704,20520,17248,85,85,84,0.0399401970967331,0.0485450301027538,0.043380067749041,"Monophyletic","Monophyletic","Monophyletic"
"Philippe2009.Philippe_etal_superalignment_FixedNames.Partition","Philippe2009","Philippe_etal_superalignment_FixedNames","Philippe2009.Philippe_etal_superalignment_FixedNames","Partition","noPlac",0.395212497127732,0.334871670720124,0.269915832152144,50.1919871352219,42.5287021814558,34.2793106833223,0.790698859509128,0.150098932065727,0.0592022084251491,9207,9207,9207,127,127,127,0.0923207368099933,0,0,0.973964395017027,0.974831974831975,0.976383154656582,108.11004784689,108.206349206349,108.378530166881,1,1,1,880,1240,756,111,111,111,2.95463690560393,2.97970493764695,3.02615378850918,"Monophyletic","Monophyletic","Monophyletic",0.390524630669482,0.38727889225035,0.411447513498316,48.8155788336853,48.4098615312937,51.0194916737912,0.779143537320513,0.748196134975053,0.897457353935165,7812,6732,2268,125,125,124,0.0846191605404116,0.0793764613185267,0.119046971683281,"Monophyletic","Monophyletic","Monophyletic"
