"gene_tree","Choanoflagellata","Opisthokonta","Outgroup","ingroup_ intercept_estimate","ingroup_ intercept_std.error","ingroup_ intercept_t.value","ingroup_ intercept_Pr","ingroup_ x_estimate","ingroup_ x_std.error","ingroup_ x_t.value","ingroup_ x_Pr","ingroup_ residual_std_error","ingroup_ degrees_of_freedom","ingroup_ multiple_r_squared","ingroup_ adjusted_r_squared","ingroup_ f.statistic_value","ingroup_ f.statistic_p.value","outgroup_ intercept_estimate","outgroup_ intercept_std.error","outgroup_ intercept_t.value","outgroup_ intercept_Pr","outgroup_ x_estimate","outgroup_ x_std.error","outgroup_ x_t.value","outgroup_ x_Pr","outgroup_ residual_std_error","outgroup_ degrees_of_freedom","outgroup_ multiple_r_squared","outgroup_ adjusted_r_squared","outgroup_ f.statistic_value","outgroup_ f.statistic_p.value","branch_length_to_outgroup"
1458,"Monophyletic","Zero_taxa","Monophyletic",-4.53084703092117,0.170305543486247,-26.6042251953298,1.08885017101391e-47,0.0357758966068571,0.00281602572060283,12.7043926996514,9.71405019291878e-23,0.862136288833229,102,0.612758607483899,0.608962123243545,161.401593866955,9.71405019291906e-23,-4.27609075806011,0.129735104317961,-32.9601674160607,5.31823780694625e-67,0.0264016462193435,0.00160792952958246,16.4196538054745,3.60962102432521e-34,0.76065434298569,137,0.663063687057219,0.660604297911652,269.605031091634,3.60962102432521e-34,0.2705104738
1460,"Monophyletic","Zero_taxa","Monophyletic",-4.30218914691032,0.177275620525898,-24.2683632083625,1.05850940555459e-43,0.034102270802369,0.00298833372804012,11.4118013267329,8.19120605687125e-20,0.888623631967752,100,0.565650248254205,0.561306750736747,130.229209520823,8.19120605687166e-20,-4.15250681346255,0.133143217216556,-31.1882715490383,1.45400579020934e-63,0.0255104611204479,0.00167412846966082,15.2380546551582,3.98473504862709e-31,0.774938860614438,135,0.632351248784329,0.62962792470125,232.198309673588,3.98473504862692e-31,0.1607818565
1461,"Monophyletic","Monophyletic","Monophyletic",-6.53195686719777,0.397025420272232,-16.4522384050849,1.04001871197249e-30,0.0595807757995549,0.00644187433822083,9.24898137892121,3.19995653714628e-15,2.02936934960428,104,0.451313740094144,0.446037910671972,85.5436565476313,3.19995653714639e-15,-6.15650588868755,0.33084099720895,-18.6086547333167,2.5209225783115e-39,0.0441548587663239,0.00410042456747098,10.7683626511772,5.69022477671146e-20,1.93976520609205,137,0.458407331962248,0.454454100808688,115.957634187268,5.69022477671146e-20,0.0594045873
1474,"Monophyletic","Zero_taxa","Monophyletic",-4.92467891404458,0.219451455781143,-22.440857803905,1.82605424505218e-42,0.0340182587628184,0.00343207259256797,9.91187040637884,7.39908763392098e-17,1.14297550469898,108,0.476351386039984,0.471502787762577,98.2451749528484,7.39908763392151e-17,-4.76421188358527,0.170648269088804,-27.9183135523397,2.63416977043083e-59,0.0283251368209585,0.00205615248191654,13.77579584689,6.8881161910765e-28,1.01498151351444,141,0.57372520941658,0.570701983951449,189.772551215193,6.88811619107665e-28,0.1251664552
1481,"Monophyletic","Zero_taxa","Monophyletic",-5.37677809011335,0.224278664058033,-23.9736495341443,1.0436205309017e-43,0.0456487374762635,0.00370847873557834,12.3092892614752,6.91332276665808e-22,1.13536395314742,102,0.597662660073181,0.593718176348408,151.518602122668,6.91332276665852e-22,-5.39262220449217,0.203459766405316,-26.504612188286,2.56961565189203e-50,0.0413760608245769,0.00304452245932068,13.5903286566029,1.60875030087945e-25,1.08382433912636,113,0.620419461815413,0.617060342008469,184.697032994481,1.60875030087952e-25,0.2323332161
1482,"Monophyletic","One_taxon","Monophyletic",-8.0098915876315,0.436662083275763,-18.3434557164723,2.38028659505217e-36,0.0723189644909626,0.00626354066230532,11.5460197977457,4.2482307112889e-21,2.37676403436825,118,0.530461458459179,0.526482318276629,133.310573169937,4.24823071128874e-21,-7.41548919042492,0.382658348013728,-19.3788773429788,2.53585455269326e-42,0.0542838763911486,0.00442594072995746,12.2649352314464,2.93058961428396e-24,2.3237242603794,147,0.505763796443771,0.50240164539917,150.428636231574,2.93058961428382e-24,0.1158401407
1483,"Monophyletic","Monophyletic","Monophyletic",-8.71108758158098,0.402912492587723,-21.6202965701898,3.18084041272223e-44,0.0732112732566018,0.00542032018469197,13.5068170812796,2.94253382816259e-26,2.26587537175305,126,0.591484868670957,0.588242685088981,182.434107667145,2.94253382816247e-26,-8.00509559331196,0.347107784665632,-23.0622761774797,6.7851775230552e-53,0.0540754014709477,0.00367150546206376,14.7284001153445,1.21535713716562e-31,2.20560018290867,161,0.573990416112589,0.571344393852419,216.925769957678,1.2153571371656e-31,0.2069220623
1484,"Monophyletic","Zero_taxa","Monophyletic",-6.06569575101423,0.386219217253365,-15.7053183271175,5.5757980037252e-29,0.0602619454853027,0.00638618818455779,9.43629341067961,1.44054585384818e-15,1.95515422353694,102,0.466090556273552,0.460856149962509,89.0436333324353,1.44054585384826e-15,-5.40534486087656,0.30735320492063,-17.5867528769463,9.84073872341558e-37,0.0395032405407629,0.00386462608727722,10.2217496980657,1.61592822761357e-18,1.78890030905586,135,0.436288412076692,0.432112770684668,104.484166889907,1.6159282276136e-18,0.0633127436
1488,"Monophyletic","Zero_taxa","Monophyletic",-5.40731952012259,0.283903873974103,-19.0463041043809,8.55539795106272e-38,0.0397235614516344,0.00407235600921134,9.75444223485936,7.66557984097331e-17,1.54529679292838,118,0.446397024328608,0.441705473687325,95.149143313208,7.66557984097342e-17,-5.17152259047456,0.235035300926216,-22.0031738640743,4.64016158347899e-48,0.0323266377587301,0.00275528707638847,11.7325842507499,9.05558740630539e-23,1.41756239938575,145,0.487004466712551,0.483466566482982,137.653533200944,9.05558740630481e-23,0.0641157724
1489,"Monophyletic","Zero_taxa","Monophyletic",-4.34929528341818,0.187887968529657,-23.1483437574752,4.61694092186349e-41,0.0317886967611246,0.00329551949885424,9.64603510074108,8.56896586559419e-16,0.922889627395039,96,0.492187068379976,0.486897350342267,93.0459931647289,8.56896586559438e-16,-4.2860953123768,0.172950918672872,-24.7821482838361,1.13019441706387e-45,0.0287538697068608,0.00278014463725905,10.3425804979734,1.04246881265813e-17,0.888246422308642,105,0.504644480143614,0.499926808525935,106.96897135706,1.04246881265813e-17,0.290364295
