"id","dataset","matrix_name","dataset_id","model","tree_topology","Plac_present","gcf_branch_files","gcf_stat_files","MET_ID","MET_gCF","MET_gCF_N","MET_gDF1","MET_gDF1_N","MET_gDF2","MET_gDF2_N","MET_gDFP","MET_gDFP_N","MET_gN","MET_Length","KEY_ID","KEY_gCF","KEY_gCF_N","KEY_gDF1","KEY_gDF1_N","KEY_gDF2","KEY_gDF2_N","KEY_gDFP","KEY_gDFP_N","KEY_gN","KEY_Length","CTEN_ID","CTEN_gCF","CTEN_gCF_N","CTEN_gDF1","CTEN_gDF1_N","CTEN_gDF2","CTEN_gDF2_N","CTEN_gDFP","CTEN_gDFP_N","CTEN_gN","CTEN_Length","CTEN_monophyly","PORI_ID","PORI_gCF","PORI_gCF_N","PORI_gDF1","PORI_gDF1_N","PORI_gDF2","PORI_gDF2_N","PORI_gDFP","PORI_gDFP_N","PORI_gN","PORI_Length","PORI_monophyly"
"Laumer2018.Tplx_BUSCOeuk.C60.CTEN","Laumer2018","Tplx_BUSCOeuk","Laumer2018.Tplx_BUSCOeuk","C60","CTEN","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Laumer2018.Tplx_BUSCOeuk.C60.CTEN.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Laumer2018.Tplx_BUSCOeuk.C60.CTEN.gcf.cf.stat","96","49.34","113","0.87","2","0.87","2","48.91","112","229","0.311466","90","5.65","17","1.33","4","1","3","92.03","277","301","0.047366","91","68.75","110","0","0","0","0","31.25","50","160","0.685951","Monophyletic","102","3.68","11","0.67","2","0.33","1","95.32","285","299","0.0247387","Monophyletic"
"Laumer2018.Tplx_BUSCOeuk.C60.PORI","Laumer2018","Tplx_BUSCOeuk","Laumer2018.Tplx_BUSCOeuk","C60","PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Laumer2018.Tplx_BUSCOeuk.C60.PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Laumer2018.Tplx_BUSCOeuk.C60.PORI.gcf.cf.stat","93","49.57","114","0","0","0","0","50.43","116","230","0.34983","92","1","3","5.65","17","1.33","4","92.03","277","301","0.00677957","87","68.32","110","0","0","0","0","31.68","51","161","0.729482","Monophyletic","99","3.69","11","0.67","2","1.34","4","94.3","281","298","0.0215283","Monophyletic"
"Moroz2014.ED3d.C60.CTEN_PORI","Moroz2014","ED3d","Moroz2014.ED3d","C60","CTEN_PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Moroz2014.ED3d.C60.CTEN_PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Moroz2014.ED3d.C60.CTEN_PORI.gcf.cf.stat","72","60.61","20","3.03","1","9.09","3","27.27","9","33","0.292862","53","9.76","4","17.07","7","17.07","7","56.1","23","41","0.0249576","54","100","25","0","0","0","0","0","0","25","0.599139","Monophyletic","64","18.18","2","9.09","1","9.09","1","63.64","7","11","0.0411938","Monophyletic"
"Moroz2014.ED3d.C60.CTEN","Moroz2014","ED3d","Moroz2014.ED3d","C60","CTEN","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Moroz2014.ED3d.C60.CTEN.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Moroz2014.ED3d.C60.CTEN.gcf.cf.stat","64","57.14","16","7.14","2","7.14","2","28.57","8","28","0.279327","53","17.07","7","9.76","4","17.07","7","56.1","23","41","0.0248353","54","93.48","43","0","0","0","0","6.52","3","46","0.60449","Monophyletic","66","15.38","2","15.38","2","7.69","1","61.54","8","13","0.0541257","Monophyletic"
"Moroz2014.ED3d.C60.PORI","Moroz2014","ED3d","Moroz2014.ED3d","C60","PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Moroz2014.ED3d.C60.PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Moroz2014.ED3d.C60.PORI.gcf.cf.stat","72","70.59","12","0","0","11.76","2","17.65","3","17","0.273875","63","17.07","7","9.76","4","17.07","7","56.1","23","41","0.0248032","53","93.62","44","0","0","0","0","6.38","3","47","0.620564","Monophyletic","64","15.38","2","0","0","15.38","2","69.23","9","13","0.0388114","Monophyletic"
"Nosenko2013.nonribosomal_9187_smatrix.C60.CTEN_PORI","Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","C60","CTEN_PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.nonribosomal_9187_smatrix.C60.CTEN_PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.nonribosomal_9187_smatrix.C60.CTEN_PORI.gcf.cf.stat","78","17.14","6","0","0","0","0","82.86","29","35","0.0602363","87","0","0","0","0","2.86","1","97.14","34","35","0.00238604","108","61.54","16","0","0","0","0","38.46","10","26","0.25977","Monophyletic","88","0","0","0","0","3.03","1","96.97","32","33","0.00991252","Monophyletic"
"Nosenko2013.nonribosomal_9187_smatrix.C60.CTEN","Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","C60","CTEN","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.nonribosomal_9187_smatrix.C60.CTEN.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.nonribosomal_9187_smatrix.C60.CTEN.gcf.cf.stat","79","17.14","6","2.86","1","2.86","1","77.14","27","35","0.0413709","78","2.86","1","0","0","0","0","97.14","34","35","0.0238838","88","61.54","16","0","0","0","0","38.46","10","26","0.241503","Monophyletic","91","0","0","0","0","3.03","1","96.97","32","33","0.0109183","Monophyletic"
"Nosenko2013.nonribosomal_9187_smatrix.C60.PORI","Nosenko2013","nonribosomal_9187_smatrix","Nosenko2013.nonribosomal_9187_smatrix","C60","PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.nonribosomal_9187_smatrix.C60.PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.nonribosomal_9187_smatrix.C60.PORI.gcf.cf.stat","79","17.14","6","0","0","0","0","82.86","29","35","0.0592624","78","0","0","2.86","1","0","0","97.14","34","35","0.00399329","108","61.54","16","0","0","0","0","38.46","10","26","0.260937","Monophyletic","88","0","0","0","0","0","0","100","33","33","0.0102384","Monophyletic"
"Nosenko2013.ribosomal_14615_smatrix.C60.CTEN_PORI","Nosenko2013","ribosomal_14615_smatrix","Nosenko2013.ribosomal_14615_smatrix","C60","CTEN_PORI","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.ribosomal_14615_smatrix.C60.CTEN_PORI.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.ribosomal_14615_smatrix.C60.CTEN_PORI.gcf.cf.stat","78","18.39","16","0","0","0","0","81.61","71","87","0.0676994","87","0","0","0","0","4.65","4","95.35","82","86","0.00491599","110","95.59","65","0","0","0","0","4.41","3","68","0.407511","Monophyletic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Paraphyletic"
"Nosenko2013.ribosomal_14615_smatrix.C60.CTEN","Nosenko2013","ribosomal_14615_smatrix","Nosenko2013.ribosomal_14615_smatrix","C60","CTEN","Plac","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.ribosomal_14615_smatrix.C60.CTEN.gcf.cf.branch","/Users/caitlincherryh/Documents/C4_Ancient_ILS/06_cf_analyses/gcf_c60/Nosenko2013.ribosomal_14615_smatrix.C60.CTEN.gcf.cf.stat","79","17.44","15","2.33","2","1.16","1","79.07","68","86","0.0539805","78","4.65","4","0","0","0","0","95.35","82","86","0.0164985","88","95.59","65","0","0","0","0","4.41","3","68","0.395539","Monophyletic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Paraphyletic"
