"dataset","matrix_name","dataset_id","model","id","topology","KEY_node","KEY_q1","KEY_f1","KEY_pp1","KEY_QC","KEY_EN","KEY_branch_length","CTEN_q1","CTEN_f1","CTEN_pp1","CTEN_QC","CTEN_EN","CTEN_branch_length","CTEN_monophyly","PORI_q1","PORI_f1","PORI_pp1","PORI_QC","PORI_EN","PORI_branch_length","PORI_monophyly","Plac_present"
"Philippe2011","UPDUNN_MB_FixedNames","Philippe2011.UPDUNN_MB_FixedNames","C60","Philippe2011.UPDUNN_MB_FixedNames.C60.CTEN","CTEN",83,0.377227012190839,44.1355604263281,0.66568539822651,1608,117,0.0629880007829291,"0.9994190456985376","56.96688560481664","1.0","414","57.0","3.62239997769308","Monophyletic","0.4388532174640058","23.698073743056312","0.8394775416212401","536","54.0","0.158188439716426","Monophyletic","Plac"
"Philippe2011","UPDUNN_MB_FixedNames","Philippe2011.UPDUNN_MB_FixedNames","C60","Philippe2011.UPDUNN_MB_FixedNames.C60.PORI","PORI",83,0.310009903755188,36.271158739357,0.163757364884617,1608,117,0,"0.9994148740987574","57.96606269772793","1.0","536","58.0","3.63869819765027","Monophyletic","0.44845993076751867","24.21683626144601","0.8598523050924753","414","54.0","0.174900168467574","Monophyletic","Plac"
"Philippe2011","UPDUNN_MB_FixedNames","Philippe2011.UPDUNN_MB_FixedNames","C60","Philippe2011.UPDUNN_MB_FixedNames.C60.CTEN_PORI","CTEN_PORI",149,0.312763084053973,36.5932808343149,0.170557236888865,1608,117,0,"0.9994557099820258","56.96897546897547","1.0","146","57.0","3.62442490425824","Monophyletic","0.32520744034358495","13.008297613743398","0.28594635370025545","146","40.0","0","Monophyletic","Plac"
"Ryan2013","REA_EST_includingXenoturbella","Ryan2013.REA_EST_includingXenoturbella","C60","Ryan2013.REA_EST_includingXenoturbella.C60.CTEN","CTEN",111,0.339787414568649,119.265382513596,0.384715659896028,4050,351,0.00826724380079316,"0.5715086119646035","13.144698075185879","0.9665114531224325","168","23.0","3.77403726245424","Monophyletic","0.4007598483814877","8.415956816011242","0.493903189002562","1224","21.0","0","Monophyletic","Plac"
"Ryan2013","REA_EST_includingXenoturbella","Ryan2013.REA_EST_includingXenoturbella","C60","Ryan2013.REA_EST_includingXenoturbella.C60.PORI","PORI",67,0.341554642903359,119.885679659079,0.41019217400611,4050,351,0.0109360570998318,"0.5715086119646035","13.144698075185879","0.9665114531224325","168","23.0","3.96790346382261","Monophyletic","1.0","6.0","0.9981735159817352","114","6.0","0","Monophyletic","Plac"
"Ryan2013","REA_EST_includingXenoturbella","Ryan2013.REA_EST_includingXenoturbella","C60","Ryan2013.REA_EST_includingXenoturbella.C60.CTEN_PORI","CTEN_PORI",67,0.318657942527992,111.848937827325,0.205092166097826,4050,351,0,"0.5124476139210795","35.871332974475564","0.9966365027642636","224","70.0","4.18694103615483","Monophyletic","0.4007598483814877","8.415956816011242","0.493903189002562","1224","21.0","0.0175927444358836","Monophyletic","Plac"
"Whelan2015","Dataset10","Whelan2015.Dataset10","C60","Whelan2015.Dataset10.C60.CTEN","CTEN",90,0.326072634430257,29.0204644642929,0.29448650370618,58900,89,0,"0.6316916218536093","29.057814605266024","0.9999348800593973","67","46.0","2.2520317288596","Monophyletic","0.38433213929806004","25.750253332970022","0.5224677105447928","195","67.0","0.103917405738529","Monophyletic","Plac"
"Whelan2015","Dataset10","Whelan2015.Dataset10","C60","Whelan2015.Dataset10.C60.PORI","PORI",90,0.343637004716407,30.5836934197602,0.391444401195522,58900,89,0.00977585197478949,"0.8097270006002641","63.968433047420866","1.0","67","79.0","2.2018105018598","Monophyletic","0.6316916218536093","29.057814605266024","0.9999348800593973","67","46.0","0.0998226548510463","Monophyletic","Plac"
"Whelan2015","Dataset10","Whelan2015.Dataset10","C60","Whelan2015.Dataset10.C60.CTEN_PORI","CTEN_PORI",98,0.330290360853336,29.3958421159469,0.314069095098285,58900,89,0,"0.38433213929806004","25.750253332970022","0.5224677105447928","195","67.0","2.20359534996009","Monophyletic","0.8097270006002641","63.968433047420866","1.0","67","79.0","0.106997649937844","Monophyletic","Plac"
"Whelan2017","Metazoa_Choano_RCFV_strict","Whelan2017.Metazoa_Choano_RCFV_strict","C60","Whelan2017.Metazoa_Choano_RCFV_strict.C60.CTEN","CTEN",92,0.366005680678683,28.914448773616,0.436942783056352,62700,79,0.0430598242040358,"0.6687666342541234","6.018899708287111","0.9318186566960961","213","9.0","1.61054133789272","Monophyletic","0.41222195231213327","47.40552451589532","0.8846239716620236","3420","115.0","0.217266958733309","Monophyletic","Plac"
