"Borowiec2015.Best108"	"Chang2015.Chang_AA"	"Dunn2008.Dunn2008_FixedNames"	"Hejnol2009.Hejnol_etal_2009_FixedNames"	"Laumer2018.Tplx_phylo_d1"	"Laumer2019.nonbilateria_MARE_BMGE"	"Moroz2014.ED3d"	"Nosenko2013.nonribosomal_9187_smatrix"	"Nosenko2013.ribosomal_14615_smatrix"	"Philippe2009.Philippe_etal_superalignment_FixedNames"	"Philippe2011.UPDUNN_MB_FixedNames"	"Pick2010.Pick2010"	"Ryan2013.REA_EST_includingXenoturbella"	"Simion2017.supermatrix_97sp_401632pos_1719genes"	"Whelan2015.Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned"	"Whelan2017.Metazoa_Choano_RCFV_strict"
"Mnemiopsis"	"Ectopleura_larynx"	"Cyanea_capillata"	"Ciona_intestinalis"	"CTEN_Pbac"	"OUTF_Amac"	"HECH"	"Cyanea_cap"	"Cyanea_cap"	"HydraXmagnipapillata"	"Crassostrea_gigas"	"Clytia_hem"	"Euprymna_scolopes"	"Nematostella_vectensis"	"Dryodora_glandiformis"	"Craseo_lathetica"
"Monosiga"	"Edwardsiella_lineata"	"Daphnia_magna"	"Convoluta_pulchra"	"CTEN_Vmul"	"OUTF_Foxy"	"HSAP"	"Danio_reri"	"Danio_reri"	"IxodesXscapularis"	"Cristatella_mucedo"	"Crassostre"	"Gallus_gallus"	"Antipathes_caribbeana"	"Ephydatia_muelleri"	"Crella_elegans"
"Nematostella"	"Enteromyxum_leei"	"Drosophila_melanogaster"	"Convolutriloba_longifissura"	"ECHI_Spur"	"OUTF_Mver"	"HVUL"	"Daphnia_pu"	"Daphnia_pu"	"LeucettaXchagosensis"	"Cryptococcus_neoformans"	"Crateromor"	"Halocynthia_roretzi"	"Plumapathes_pennacea"	"Eunicella_verrucosa"	"Ctenophora_sp_Florida_USA"
"Oikopleura"	"Ephydatia_muelleri"	"Dugesia_japonica"	"Crassostrea_virginica"	"MICR_Limn"	"OUTF_Rall"	"ISCA"	"Ephydat_mu"	"Ephydat_mu"	"mertensiid_sp"	"Cyanea_capillata"	"Cyanea_cap"	"Helobdella_robusta"	"Montastraea_faveolata"	"Euplokamis_dunlapae"	"Cydippida_sp"
"Pinctada"	"Eunicella_cavolinii"	"Echinococcus_granulosus"	"Cristatella_mucedo"	"MOLL_Cgig"	"OUTF_Rsol"	"LCHA"	"Euprymn_sc"	"Euprymn_sc"	"Metridium_senile"	"Daphnia_pulex"	"Daphnia_pu"	"Hydra_magnipapillata"	"Porites_australiensis"	"Hemithiris_psittacea"	"Cydippida_sp_Maryland_USA"
"Rhodnius"	"Euplectella_aspergillum"	"Echinoderes_horni"	"Cryptococcus_neoformans"	"NEMA_Ppac"	"OUTF_Spun"	"LGIG"	"Helobde_ro"	"Helobde_ro"	"Mnemiopsis_leidyi"	"Drosophila_melanogaster"	"Drosophila"	"Hydractinia_echinata"	"Gorgonia_ventalina"	"Homo_sapiens"	"Daphnia_pulex"
"Saccoglossus"	"Euplokamis_dunlapae"	"Euperipatoides_kanangrensis"	"Cyanea_capillata"	"NEMO_Nemw"	"OUTI_Apar"	"MBRE"	"Heteroc_ca"	"Heteroc_ca"	"Molgula_tectiformis"	"Dugesia_japonica"	"Dugesia_ja"	"Isodiametra_pulchra"	"Pennatula_rubra"	"Hormathia_digitata"	"Drosophila_melanogaster"
"Salpingoeca"	"Gorgonia_ventalina"	"Euprymna_scolopes"	"Daphnia_pulex"	"OUTC_Aspc"	"OUTI_Cowc"	"MERT"	"Hydra_magn"	"Hydra_magn"	"MonosigaXbrevicollis"	"Echinococcus_granulosus"	"Echinococc"	"Leucetta_chagosensis"	"Alatina_alata"	"Hyalonema_populiferum"	"Dryodora_glandiformis"
"Strigamia"	"Helobdella_robusta"	"Fenneropenaeus_chinensis"	"Diplosoma_listerianum"	"OUTC_Chol"	"OUTI_Falb"	"MLEI"	"Hydra_vulg"	"Hydra_vulg"	"MonosigaXovata"	"Echinoderes_horni"	"Echinodere"	"Lottia_gigantea"	"Atolla_vanhoeffeni"	"Hydra_oligactis"	"Eunicella_verrucosa"
"Strongylocentrotus"	"Homo_sapiens"	"Gallus_gallus"	"Drosophila_melanogaster"	"OUTC_Dcos"	"OUTI_Mvar"	"MOVA"	"Hydract_ec"	"Hydract_ec"	"Montastraea_faveolata"	"Euperipatoides_kanangrensis"	"Ephydatia_"	"Lubomirskia_baicalensis"	"Periphylla_periphylla"	"Hydra_viridissima"	"Euplokamis_dunlapae"
